test error,training error,validation error
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9956521739130435
0.998914223669924,0.9992753623188406,0.9945652173913043
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9992753623188406,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9989130434782608,0.9934782608695653
0.998914223669924,0.9985507246376811,0.9934782608695653
0.998914223669924,0.9985507246376811,0.9934782608695653
0.998914223669924,0.9985507246376811,0.9934782608695653
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9985507246376811,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.9923913043478261
0.998914223669924,0.9981884057971014,0.991304347826087
0.998914223669924,0.9981884057971014,0.991304347826087
0.998914223669924,0.9981884057971014,0.991304347826087
0.998914223669924,0.9981884057971014,0.991304347826087
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9902173913043478
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9891304347826086
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9981884057971014,0.9880434782608696
0.998914223669924,0.9978260869565218,0.9880434782608696
0.998914223669924,0.9978260869565218,0.9880434782608696
0.998914223669924,0.9978260869565218,0.9880434782608696
0.998914223669924,0.9978260869565218,0.9880434782608696
0.998914223669924,0.9978260869565218,0.9880434782608696
0.997828447339848,0.9978260869565218,0.9880434782608696
0.997828447339848,0.9978260869565218,0.9880434782608696
0.997828447339848,0.9978260869565218,0.9869565217391304
0.997828447339848,0.9978260869565218,0.9869565217391304
